Player,Year,Age,PA,OPS,HBP,EVavg,Swing%,Sprint speed,Day to Day,10-day DL,15-day DL,60-day DL,Injured
"Beltran, Carlos",2017,40,509,0.666,3,87.3,47.9,25.3,1.0,0.0,0.0,0.0,Yes
"Pujols, Albert",2017,37,636,0.672,2,88.7,47.1,21.9,3.0,0.0,0.0,0.0,Yes
"Mauer, Joe",2017,34,597,0.801,3,90.6,36.6,26.1,0.0,0.0,0.0,0.0,No
"Cabrera, Miguel",2017,34,529,0.728,3,91.1,50.3,24.9,5.0,0.0,0.0,1.0,Yes
"Phillips, Brandon",2017,36,604,0.735,8,84.6,56.3,26.0,4.0,0.0,0.0,0.0,Yes
"Reyes, José",2017,34,561,0.728,2,84.3,45.2,27.4,0.0,0.0,0.0,0.0,No
"Choo, Shin-Soo",2017,34,636,0.78,7,88.7,42.1,26.2,2.0,0.0,0.0,0.0,Yes
"Molina, Yadier",2017,34,543,0.751,4,87.9,52.7,23.8,4.0,0.0,0.0,1.0,Yes
"Canó, Robinson",2017,34,648,0.791,4,90.3,52.0,24.2,0.0,0.0,0.0,0.0,No
"Encarnación, Edwin",2017,34,669,0.881,5,89.2,43.0,24.5,0.0,0.0,0.0,0.0,No
"Bautista, José",2017,36,686,0.674,8,88.3,41.0,25.5,0.0,0.0,0.0,0.0,No
"Jones, Adam",2017,31,635,0.788,7,86.9,58.4,27.1,4.0,0.0,0.0,1.0,Yes
"Granderson, Curtis",2017,36,527,0.775,4,87.7,38.4,26.9,1.0,0.0,0.0,0.0,Yes
"Ramirez, Hanley",2017,33,553,0.749,6,88.5,48.0,26.1,7.0,0.0,0.0,0.0,Yes
"Morales, Kendrys",2017,34,608,0.753,5,91.1,49.6,23.5,2.0,0.0,0.0,0.0,Yes
"Kinsler, Ian",2017,35,613,0.725,7,86.3,44.5,26.9,3.0,0.0,0.0,0.0,Yes
"Cruz Jr., Nelson",2017,36,645,0.924,12,93.2,47.2,25.5,0.0,0.0,0.0,0.0,No
"Trumbo, Mark",2017,31,603,0.686,1,89.8,49.6,26.5,0.0,0.0,0.0,1.0,Yes
"Peralta, David",2017,29,577,0.796,6,88.0,48.6,27.4,3.0,0.0,0.0,1.0,Yes
"Escobar, Alcides",2017,30,629,0.629,4,84.0,53.9,27.7,0.0,0.0,0.0,0.0,No
"Longoria, Evan",2017,31,677,0.737,6,86.7,49.8,27.1,2.0,0.0,0.0,0.0,Yes
