Player,Year,Age,IP,Breaking PC,PC,FBv,SL%,CB%,SIv,Day to Day,10-day DL,15-day DL,60-day DL,Injured
"Colon, Bartolo",2017,44,143.0,166,2286,90.3,7.3,,87.1,0.0,0.0,0.0,0.0,No
"Sabathia, CC",2017,36,148.2,726,2340,89.2,31.1,,90.7,0.0,0.0,0.0,0.0,No
"Dickey, R.A.",2017,42,190.0,0,2924,83.6,,,,0.0,0.0,0.0,0.0,No
"Lackey, John",2017,38,170.2,205,2772,91.0,,7.4,90.7,0.0,0.0,0.0,0.0,No
"Wainwright, Adam",2017,35,123.1,556,2155,90.1,,26.2,89.7,0.0,0.0,0.0,0.0,No
"Greinke, Zack",2017,33,202.1,1116,3163,90.8,22.7,13.0,90.7,0.0,0.0,0.0,0.0,No
"Santana, Ervin",2017,34,211.1,1193,3235,93.2,36.9,,92.3,0.0,0.0,0.0,0.0,No
"Cain, Matt",2017,32,124.1,697,2083,89.3,10.7,23.1,89.0,0.0,0.0,0.0,0.0,No
"Hamels, Cole",2017,33,148.0,299,2312,92.1,,12.9,91.9,0.0,0.0,0.0,1.0,Yes
"Verlander, Justin",2017,34,206.0,1323,3531,95.3,21.5,16.0,95.6,0.0,0.0,0.0,0.0,No
"Jiménez, Ubaldo",2017,33,142.2,627,2587,90.8,20.0,4.3,90.4,0.0,0.0,0.0,0.0,No
"Hammel, Jason",2017,34,180.1,1395,3029,92.2,36.9,9.5,92.1,0.0,0.0,0.0,0.0,No
"Nolasco, Ricky",2017,34,181.0,1130,3091,91.0,27.3,9.3,90.8,0.0,0.0,0.0,0.0,No
"Chavez, Jesse",2017,33,138.0,556,2312,91.2,16.0,8.1,91.9,0.0,0.0,0.0,0.0,No
"Kluber, Corey",2017,31,203.2,824,2945,92.7,,28.1,92.5,1.0,0.0,0.0,0.0,Yes
"Hill, Rich",2017,37,135.2,870,2224,89.2,0.0,39.1,87.9,0.0,0.0,0.0,0.0,No
